message,input_type,label,scam_type
【銀行通知】您的帳戶發生異常登入，請立即點擊 https://bit.ly/bank-verify 重新驗證帳號密碼與OTP驗證碼，否則24小時內將凍結帳戶。,SMS,RED,假銀行釣魚
您的包裹配送失敗，請立即點擊 http://reurl.cc/fake 更新收件地址與信用卡資料，否則包裹將退回。,SMS,RED,假包裹釣魚
我是公司主管，現在有一筆緊急款項需要你先轉帳處理，請不要告訴其他人，完成後私訊我。,LINE,RED,假主管匯款
恭喜您中獎，請立即填寫身分證、銀行帳號與驗證碼領取獎金。,Email,RED,假中獎個資詐騙
加入投資群組，老師帶你穩定獲利，每週保證收益30%，名額有限請立即加入LINE。,Chat,RED,假投資群組
您的包裹配送狀態異常，請盡快確認收件資訊。,SMS,YELLOW,疑似包裹通知
您的帳戶有一筆異常登入紀錄，若非本人操作請盡快確認。,Email,YELLOW,疑似帳戶異常通知
客服通知您目前有一筆退款待確認，請回覆是否需要協助。,LINE,YELLOW,疑似假客服
系統偵測到您的資料可能尚未完成更新，請稍後進行確認。,Email,YELLOW,疑似資料更新通知
您的會員資格即將到期，請留意後續通知。,SMS,YELLOW,疑似會員通知
明天下午三點開會，請記得帶筆電與報告資料。,LINE,GREEN,正常通知
老師提醒大家下週一要繳交期末報告。,LINE,GREEN,正常學校通知
今晚一起吃飯嗎？我大概六點到。,Chat,GREEN,正常聊天
會議記錄已整理完成，請大家有空時查看附件。,Email,GREEN,正常工作信件
您的訂單已送達，感謝您的購買。,SMS,GREEN,正常通知
 please verify here: https://sync-metamask.io/auth,Email,RED,Web3錢包釣魚
Chat,RED,Web3空投詐騙,
SMS,RED,假銀行KYC釣魚,
Email,RED,假個資驗證釣魚,
LINE,RED,假中獎個資詐騙,
SMS,RED,假投資詐騙,
LINE,YELLOW,疑似帳戶異常通知,
SMS,YELLOW,疑似包裹通知,
Email,YELLOW,防詐騙提醒,
Email,GREEN,正常通知,
Chat,GREEN,正常聊天,
LINE,GREEN,正常工作通知,
input_type,label,scam_type,
【警告】您的鏈上資產疑似與詐騙地址互動，為確保安全，請連結錢包解除授權：https://revoked-approve.io,Email,RED,Web3授權釣魚
您的代幣分發資格已確認，請透過以下連結確認您的錢包地址以領取空投：https://airdrop-claims.net/verify,Chat,RED,假空投釣魚
【金融監管】您的帳戶涉及非法洗錢，請立即依照指示將資金轉入安全託管帳戶以利後續調查。,LINE,RED,假檢警詐騙
因系統升級，您的會員帳號將暫時凍結，請點擊此處更新您的雙重驗證 (2FA) 設定：https://security-update-center.com,SMS,RED,假2FA釣魚
老師通知，本週六的投資交流會改為線上直播，點擊連結報名領取專屬投資組合：https://investment-live-web.com,LINE,RED,假投資群組
您的包裹配送資訊有誤，請點擊連結填寫正確的收件地址與聯絡電話：https://shipping-fix.com,SMS,YELLOW,疑似物流釣魚
客服通知您，您有一筆未領取的消費回饋金即將失效，請於今日內登入帳號查詢。,Email,YELLOW,疑似假客服
您的帳戶近期登入地區與過往不同，若非本人操作請儘速變更密碼。,Email,YELLOW,疑似帳戶異常通知
下週一的專案進度匯報，請各組將投影片上傳至共享雲端硬碟。,LINE,GREEN,正常工作通知
您預訂的診所掛號順序已更新，預計將於 20 分鐘後進行看診。,SMS,GREEN,正常掛號通知
請問你今天晚上有空一起去圖書館準備明天的期末考試嗎？,Chat,GREEN,正常聊天
包裹已送達取件門市，請攜帶身分證件於營業時間內取件。,SMS,GREEN,正常通知
